drug_master_usage_id,drug_master_id
AF|*2BD,EUCXPC
DSKN|*,EUCXR
DSKN|*2,EUCXS
O|*1P,EURO
SC|*MGQW,EUTI
IH|1*2,EVOX2512
O|1*1PB,EXFT5
O|1*1PB,EXFTH5
OP|1*1A1/2,EXJT2
DFA|*2BD,EZEX
CL|*2BD,EZEXCG
DY|*2BD,EZEXP
DY|*,EZEXT
O|1*3P,F6TT
O|1*2P,FAMTF
|*DOC,FASX
O|1*1PB,FE1
O|0.5*1P,FED
O|1*1PB,FENT3
O|1*1PB,FENT160
O|*DXXX,FEROFD
O|1*3P,FERT
O|1*3P,FERTF200
O|1*3P,FERTS
O|1*2P,FEXT6
O|1*1PB,FEXTB
SC|*MCG/D,FILI3
DH|*2BD,FINX13
O|*2P,FLEO457
O|1*3P,FLET625
IH|1*2,FLIX125
NB|*TD,FLIXNP
O|0.5*1P,FLOT
O|1*1PB,FLUT2
O|1*2P,FLUTC1
O|1*4P,FLUTF
O|2*1H,FLUTN
O|1*1PB,FLUTOT
O|1*1PB,FLUTOX
BE|*1B,FMLX
O|1*1P,FOLTF
OP|1*1H,FOROL
O|1*1PB,FORT10
O|1*1H,FRIT5
DX|*2BD,FUCX15
DC|*2BD,FUCXC5
O|*1P,FUROSU
O|1*1PB,FURT4
DC|*2BD,FUSXF5
DC|*2BD,FUSXFO5
DC|*2BD,FUSXFO15
O|1*1H,FYCT2
O|1*1H,FYCT4
O|1*3P,GABTS100
O|1*3P,GABTS300
O|1*3A,GANT5
O|5*4P,GAVO
O|1*2A,GEMT3
O|1*1A,GEMT6
BE|1*2,GLAX5
O|1*1C,GRITV5
O|1*1H,HALTO5
SC|*IUE,HEMIP2
O|30*1H,HEPO
O|1*3P,HIDO
BE|1*4,HISX
O|*2P,HYDOC
O|1*1A,HYDT
O|1*3P,HYDTC25
O|1*1H,HYDTP1
O|1*1PC,HYDTS10
DC|*2BD,HYTX
O|1*Q6,IBUOP
O|1*3P,IBUT2
O|1*3P,IBUT4
ND|1*3,ILIX2
ND|1*3,ILIX5
NS|1*3,ILIXN
O|4*1C,IMAT1
O|1*3P,INDTMA
O|3*1H,INHT1G
O|1*2P,INOT
SC|*UABD,INSIC1
NS|1*2,IPRXS
O|1*1PB,ISOTS
O|1*1PB,ISOTT1
O|1*1PB,ISOTT2
